time:2012.4.3.05052, num_particles:12, a_min:0.809, a_max:0.5, a_variations:1, b_min:0.378, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.01, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.15946, num_particles:12, a_min:0.809, a_max:0.5, a_variations:1, b_min:0.378, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.025, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.3911, num_particles:12, a_min:0.809, a_max:0.5, a_variations:1, b_min:0.378, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.41825, num_particles:12, a_min:0.845, a_max:0.5, a_variations:1, b_min:0.482, b_max:0.9, b_variations:1, omega:0.5, delta_t:0.01, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.52722, num_particles:12, a_min:0.845, a_max:0.5, a_variations:1, b_min:0.482, b_max:0.9, b_variations:1, omega:0.5, delta_t:0.025, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.63616, num_particles:12, a_min:0.845, a_max:0.5, a_variations:1, b_min:0.482, b_max:0.9, b_variations:1, omega:0.5, delta_t:0.05, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.74539, num_particles:12, a_min:0.877, a_max:0.5, a_variations:1, b_min:0.658, b_max:0.9, b_variations:1, omega:1.0, delta_t:0.01, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.8553, num_particles:12, a_min:0.877, a_max:0.5, a_variations:1, b_min:0.658, b_max:0.9, b_variations:1, omega:1.0, delta_t:0.025, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.10543, num_particles:12, a_min:0.877, a_max:0.5, a_variations:1, b_min:0.658, b_max:0.9, b_variations:1, omega:1.0, delta_t:0.05, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.112516, num_particles:6, a_min:0.924, a_max:0.5, a_variations:1, b_min:0.557, b_max:0.9, b_variations:1, omega:1.0, delta_t:0.01, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.142156, num_particles:2, a_min:0.971, a_max:0.5, a_variations:1, b_min:0.252, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.142239, num_particles:2, a_min:0.988, a_max:0.5, a_variations:1, b_min:0.399, b_max:0.9, b_variations:1, omega:1.0, delta_t:0.05, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.14279, num_particles:2, a_min:0.988, a_max:0.5, a_variations:1, b_min:0.399, b_max:0.9, b_variations:1, omega:1.0, delta_t:0.01, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.3.142929, num_particles:2, a_min:0.988, a_max:0.5, a_variations:1, b_min:0.399, b_max:0.9, b_variations:1, omega:1.0, delta_t:0.025, sampl_cyc:100000000.0, therm_cyc:500000.0
